date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:25:57	76195/76195	---M-Z	200	added ('OK')	text/html	etag:W/%22129a3-601ca71ccf5c5%22	https://www.wikipedia.org/	C:/My%20Web%20Sites/T3/www.wikipedia.org/index.html	(from )
18:25:57	243/243	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2013%20Aug%202023%2021:30:16%20GMT	https://www.wikipedia.org/robots.txt		(from )
18:25:57	1313/1313	---M--	200	added ('OK')	image/png	etag:%22521-5fd677c2ea69f%22	https://www.wikipedia.org/static/apple-touch/wikipedia.png	C:/My%20Web%20Sites/T3/www.wikipedia.org/static/apple-touch/wikipedia.png	(from https://www.wikipedia.org/)
18:25:58	2734/2734	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22aae-5fd677c2ea69f%22	https://www.wikipedia.org/static/favicon/wikipedia.ico	C:/My%20Web%20Sites/T3/www.wikipedia.org/static/favicon/wikipedia.ico	(from https://www.wikipedia.org/)
18:25:59	49631/49631	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22c1df-5fd7288536f63%22	https://www.wikipedia.org/portal/wikipedia.org/assets/img/sprite-e99844f6.svg	C:/My%20Web%20Sites/T3/www.wikipedia.org/portal/wikipedia.org/assets/img/sprite-e99844f6.svg	(from https://www.wikipedia.org/)
18:26:00	1335/1335	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Aug%202023%2012:44:25%20GMT	https://www.wikipedia.org/portal/wikipedia.org/assets/img/noimage.png	C:/My%20Web%20Sites/T3/www.wikipedia.org/portal/wikipedia.org/assets/img/noimage.3.delayed	(from https://www.wikipedia.org/)
18:26:00	1335/1335	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Aug%202023%2012:44:25%20GMT	https://www.wikipedia.org/portal/wikipedia.org/assets/img/noimage.svg	C:/My%20Web%20Sites/T3/www.wikipedia.org/portal/wikipedia.org/assets/img/noimage.4.delayed	(from https://www.wikipedia.org/)
18:26:01	2066/2066	---M--	200	added ('OK')	image/png	etag:%22812-5fd7288535fc3%22	https://www.wikipedia.org/portal/wikipedia.org/assets/img/Wikinews-logo_sister.png	C:/My%20Web%20Sites/T3/www.wikipedia.org/portal/wikipedia.org/assets/img/Wikinews-logo_sister.png	(from https://www.wikipedia.org/)
18:26:01	3412/3412	---M--	200	added ('OK')	image/png	etag:%22d54-5fd7288535fc3%22	https://www.wikipedia.org/portal/wikipedia.org/assets/img/Wikinews-logo_sister@2x.png	C:/My%20Web%20Sites/T3/www.wikipedia.org/portal/wikipedia.org/assets/img/Wikinews-logo_sister@2x.png	(from https://www.wikipedia.org/)
18:26:02	15829/15829	---M--	200	added ('OK')	image/png	etag:%223dd5-5fd7288535fc3%22	https://www.wikipedia.org/portal/wikipedia.org/assets/img/Wikipedia-logo-v2.png	C:/My%20Web%20Sites/T3/www.wikipedia.org/portal/wikipedia.org/assets/img/Wikipedia-logo-v2.png	(from https://www.wikipedia.org/)
18:26:03	22414/22414	---M-Z	200	added ('OK')	application/javascript	etag:W/%22578e-5fd7288536f63%22	https://www.wikipedia.org/portal/wikipedia.org/assets/js/index-86c7e2579d.js	C:/My%20Web%20Sites/T3/www.wikipedia.org/portal/wikipedia.org/assets/js/index-86c7e2579d.js	(from https://www.wikipedia.org/)
18:26:03	614/614	---M--	200	added ('OK')	application/javascript	etag:%22266-5fd7288536f63%22	https://www.wikipedia.org/portal/wikipedia.org/assets/js/gt-ie9-ce3fe8e88d.js	C:/My%20Web%20Sites/T3/www.wikipedia.org/portal/wikipedia.org/assets/js/gt-ie9-ce3fe8e88d.js	(from https://www.wikipedia.org/)
